id_nestbox;coord_x;coord_y;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;vegetation_area;herbaceous_area;built_area;age_class;site;strata_div
DIJ-041;853187,0109;6692374,448;8;9;33;11,5;33,14551874;93,16933774;47,66934477;57,57273037;21;19;59,19397736;10,01096725;609,8971748;3097631,514;206064,0658;6,179713602;27972;9819;6754;0;port_du_canal;3
DIJ-042;853197,8992;6692408,637;9;10,5;36;10,5;49,62288681;117,6308314;64,75915995;73,40084054;23;21;59,85938263;12,01533508;532,1966484;4888259,551;240473,8173;6,062373788;29901;9134;6025;0;port_du_canal;3
DIJ-043;853212,4667;6692463,154;10;10;36;13;71,66310148;144,8547309;75,65147748;102,1081011;24;20;61,02723694;10,32194519;885,5822414;6830688,581;259809,6511;6,167592011;31893;9205;6780;1;port_du_canal;
DIJ-044;853230,4283;6692519,18;8,5;13,25;36;24,75;61,90853366;146,2747553;67,55915659;113,8922098;22;25;61,3096962;12,83011627;1840,710846;7377893,987;212280,989;5,735220565;30767;10592;9714;1;port_du_canal;1
DIJ-045;853176,1919;6692539,547;7;13;38;22;24,98513209;128,0133065;70,99819762;116,1172013;25;25;59,39223862;11,14622879;2231,1424;6432371,383;218471,518;5,076917222;33112;11509;7191;1;port_du_canal;1
DIJ-046;853114,2743;6692528,296;9;15;39;11,5;63,24912412;134,9650727;91,59618884;112,9905793;26;18;58,13747406;6,925655365;1396,413213;4746818,079;218252,5076;5,106208652;31352;10519;2918;1;port_du_canal;2
DIJ-047;853064,5403;6692546,627;8;12;38;16;75,01465224;183,3541949;95,62778729;127,4395975;26;18;57,87131119;5,909893036;1305,2682;5221721,122;204112,3322;5,276487825;31089;10855;2951;1;port_du_canal;2
DIJ-048;853055,8054;6692595,129;8,5;12,75;38,5;14,75;89,69114709;297,940146;114,1696541;152,7685761;26;19;58,1266098;8,528060913;1867,807376;6012429,734;168545,9045;4,711192157;28793;10020;3821;1;port_du_canal;2
DIJ-049;852978,4641;6692610,624;8;10,75;39;13,5;87,27240643;303,1067852;124,4885719;128,428484;24;20;57,90933609;9,60357666;559,433535;5985401,761;123228,9309;4,05361651;24023;8450;5009;1;port_du_canal;3
DIJ-050;852972,1653;6692492,783;6;11,5;33,5;24,25;78,98669982;125,5742057;69,23820012;98,76141727;15;18;56,77407074;8,153259277;0,080694613;3128535,22;198258,1781;5,913666929;28521;9388;6566;0;port_du_canal;2
DIJ-051;852988,2133;6692435,744;5;8,75;27;22,5;44,5645592;92,26295499;41,24263259;48,00205034;13;16;55,894104;8,283626556;0;247936,8706;184762,8481;5,917672903;26067;8749;6695;0;port_du_canal;2
DIJ-052;853006,1314;6692391,14;4,5;7,5;26;21,25;17,35706236;92,11810571;37,59782339;35,96959285;13;16;54,81859207;8,321651459;0;0;174139,0251;5,99271614;25202;8986;6230;0;port_du_canal;2
DIJ-053;853040,3031;6692324,562;6;8;26;18;41,4643682;92,0054087;36,91769955;38,57612084;15;17;56,63284302;9,147296906;113,8934675;841159,8555;157443,3981;5,930455146;23644;8869;7860;0;port_du_canal;2
DIJ-054;853092,93;6692209,359;5;7;26,5;14;56,70527361;84,77747794;47,6514467;40,52424289;15;17;57,27923584;13,85130692;218,9364574;4059463,337;61563,06444;5,094815514;15536;7807;14750;0;port_du_canal;0
DIJ-055;853552,9241;6693460,84;11;11,5;50;16;79,45396016;179,9494165;91,21927144;54,07507817;17;36;59,96802139;22,35763931;0;5197231,579;167753,3619;5,876301948;20939;5104;20450;2;darcy;
DIJ-056;853570,806;6693493,45;11,5;11,5;50;16;96,67082976;195,350253;91,85978405;53,92294234;17;37;60,09295273;22,02629852;0;4758948,984;159502,1007;5,998672388;19090;4531;23915;2;darcy;
DIJ-057;853530,7499;6693531,632;11;10,75;46,5;25,75;88,38141756;159,9976139;91,85978405;65,12217968;21;32;62,46668625;21,29434967;0;6565639,683;203847,2757;5,97328341;23136;5489;19103;2;darcy;
DIJ-058;853498,0179;6693564,839;11,5;11;47;27,75;89,96256855;164,320383;92,7791716;66,20971316;16;31;61,14130783;20,51623154;0;6100464,079;211741,7256;5,842203384;23954;5683;20004;2;darcy;
DIJ-059;853467,9757;6693594,385;11;9,5;43,5;28,25;85,82377172;149,6065188;89,56708189;74,00179121;11;25;59,20212555;19,20714569;0;4799613,111;210850,4893;5,789080197;23906;5794;21477;2;darcy;3
DIJ-060;853431,6165;6693618,193;10;12;32;28;87,93600189;148,0429211;88,6925183;80,68488038;9;19;57,98538208;18,12620163;0;5375433,546;178959,3018;6,032377009;19642;4678;23110;2;darcy;
