id_nestbox;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;temp_station_id;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;mean_winter_t;sd_winter_t
DIJ-044;2020;early_2020;2020-03-24;2020-05-03;10;10;7;0;NA;NA;CC;8,75500000000000;15,7550000000000;NA;s42;254,270;465,200;489,920;-0,199;-0,395;5,78057411504425;3,64153668413190
DIJ-044;2022;late_2022;2022-04-08;2022-05-11;7;7;7;0;8877507;8877506;PM;16,60571428571428;20,3042857142857;48,5000000000000;s42;271,610;455,590;423,350;-2,190;0,300;5,78057411504425;3,64153668413190
DIJ-045;2019;early_2019;2019-03-30;2019-05-10;11;11;0;0;NA;NA;PM;NA;NA;NA;s42;260,990;435,250;419,820;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-045;2021;late_2021;2021-04-09;2021-05-18;11;11;5;0;NA;NA;CC;7,88600000000000;14,1120000000000;28,3000000000000;s42;233,840;420,010;400,070;-1,814;1,670;5,78057411504425;3,64153668413190
DIJ-045;2022;early_2022;2022-03-30;2022-05-04;10;10;9;0;NA;NA;PM;15,52000000000000;19,4400000000000;42,1111111111111;s42;258,810;442,830;373,270;-2,600;-2,190;5,78057411504425;3,64153668413190
DIJ-046;2021;late_2021;2021-04-06;2021-05-11;10;10;7;0;8877029;8877030;PM;13,54000000000000;17,9828571428571;34,5714285714286;s42;238,210;431,120;339,890;-1,128;-1,814;5,78057411504425;3,64153668413190
DIJ-046;2022;late_2022;2022-04-11;2022-05-14;9;8;7;0;NA;NA;CC;10,29285714285714;17,0500000000000;40,1428571428571;s42;269,620;461,440;457,580;-2,190;4,870;5,78057411504425;3,64153668413190
DIJ-047;2019;late_2019;2019-04-06;2019-05-10;7;5;4;0;NA;NA;PM;13,14500000000000;NA;NA;s42;263,000;476,270;357,970;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-047;2020;late_2020;2020-04-05;2020-05-06;7;7;6;0;NA;8791997;PM;14,78000000000000;19,4000000000000;NA;s42;252,330;465,620;443,220;-0,395;4,532;5,78057411504425;3,64153668413190
DIJ-047;2022;late_2022;2022-04-07;2022-05-14;12;12;5;0;NA;NA;CC;9,20000000000000;16,9040000000000;38,7000000000000;s42;265,480;449,690;488,340;-2,600;0,300;5,78057411504425;3,64153668413190
DIJ-048;2019;early_2019;2019-04-01;2019-05-05;10;10;5;0;NA;NA;PM;13,32800000000000;NA;NA;s42;264,110;453,130;351,880;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-048;2021;late_2021;2021-04-09;2021-05-13;8;8;8;0;NA;NA;CC;8,31500000000000;16,4425000000000;34,6250000000000;s42;233,840;420,010;343,470;-1,814;1,670;5,78057411504425;3,64153668413190
DIJ-048;2022;late_2022;2022-04-05;2022-05-11;9;9;9;0;NA;NA;CC;10,30000000000000;17,0244444444444;39,6666666666667;s42;251,800;439,130;455,080;-2,600;0,300;5,78057411504425;3,64153668413190
DIJ-049;2019;late_2019;2019-04-09;2019-05-16;11;10;4;0;NA;8791761;CC;7,76750000000000;NA;NA;s42;262,160;494,640;403,240;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-049;2021;late_2021;2021-04-13;2021-05-15;7;7;7;0;NA;8877050;PM;14,07714285714286;18,3914285714286;37,9285714285714;s42;237,300;452,860;333,500;-1,814;1,670;5,78057411504425;3,64153668413190
