id_nestbox;site;coord_x;coord_y;year;species;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;mass;tarsus_length;wing_length;father_id;father_cond;mother_id;mother_cond;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-040;port_du_canal;853172,9818;6692326,456;2021;CC;late_2021;2021-04-05;2021-05-12;9;9,00000000000000;9;10,67555555555556;16,8888888888889;38,6111111111111;NA;NA;8877036;NA;234,790000000000;-1,140256666666666;-1,8140000000000001;5,78057411504425;3,64153668413190;9,0;9,00;31,0;10,00;45,511769270;89,128027540;47,633548630;51,280388330;21;18;58,41993332;9,744804382;3104311,899000;0;3;153644,54770;5,777879781;24148;15234;8914;803,053090000;37868;8337
DIJ-041;port_du_canal;853187,0109;6692374,448;2019;CC;late_2019;2019-04-10;2019-05-16;12;5,00000000000000;0;NA;NA;NA;NA;NA;NA;NA;260,700000000000;-0,873000000000000;-0,5629999999999999;5,78057411504425;3,64153668413190;8,0;9,00;33,0;11,50;33,145518740;93,169337740;47,669344770;57,572730370;21;19;59,19397736;10,010967250;3097631,514000;0;3;206064,06580;6,179713602;27972;18153;9819;609,897174800;35627;6754
DIJ-041;port_du_canal;853187,0109;6692374,448;2021;PM;early_2021;2021-03-31;2021-05-04;9;9,00000000000000;4;13,27000000000000;16,9975000000000;32,3750000000000;NA;0,48377929188919666;NA;-0,4229457409429224;207,840000000000;-0,773073333333332;-1,8140000000000001;5,78057411504425;3,64153668413190;8,0;9,00;33,0;11,50;33,145518740;93,169337740;47,669344770;57,572730370;21;19;59,19397736;10,010967250;3097631,514000;0;3;206064,06580;6,179713602;27972;18153;9819;609,897174800;35627;6754
DIJ-042;port_du_canal;853197,8992;6692408,637;2020;PM;late_2020;2020-04-11;2020-05-12;8;8,00000000000000;5;15,77500000000000;18,0350000000000;NA;8791966;-3,61458931567647701;NA;-0,1296364307508088;288,580000000000;-0,395000000000000;4,7140000000000004;5,78057411504425;3,64153668413190;9,0;10,50;36,0;10,50;49,622886810;117,630831400;64,759159950;73,400840540;23;21;59,85938263;12,015335080;4888259,551000;0;3;240473,81730;6,062373788;29901;20767;9134;532,196648400;34427;6025
DIJ-044;port_du_canal;853230,4283;6692519,180;2019;PM;late_2019;2019-04-10;2019-05-13;8;8,00000000000000;6;11,04166666666667;NA;NA;NA;0,86445535854074740;8791391;-0,0972632547022475;260,700000000000;-0,873000000000000;-0,5629999999999999;5,78057411504425;3,64153668413190;8,5;13,25;36,0;24,75;61,908533660;146,274755300;67,559156590;113,892209800;22;25;61,30969620;12,830116270;7377893,987000;1;1;212280,98900;5,735220565;30767;20175;10592;1840,710846000;29872;9714
DIJ-044;port_du_canal;853230,4283;6692519,180;2020;CC;early_2020;2020-03-24;2020-05-03;10;10,00000000000000;7;8,75500000000000;15,7550000000000;NA;NA;NA;NA;NA;254,270000000000;-0,199000000000000;-0,3950000000000000;5,78057411504425;3,64153668413190;8,5;13,25;36,0;24,75;61,908533660;146,274755300;67,559156590;113,892209800;22;25;61,30969620;12,830116270;7377893,987000;1;1;212280,98900;5,735220565;30767;20175;10592;1840,710846000;29872;9714
DIJ-044;port_du_canal;853230,4283;6692519,180;2022;PM;late_2022;2022-04-08;2022-05-11;7;7,00000000000000;7;16,60571428571428;20,3042857142857;48,5000000000000;8877507;2,19518585327828708;8877506;0,0741906866877422;271,610000000000;-2,190000000000000;0,3000000000000000;5,78057411504425;3,64153668413190;8,5;13,25;36,0;24,75;61,908533660;146,274755300;67,559156590;113,892209800;22;25;61,30969620;12,830116270;7377893,987000;1;1;212280,98900;5,735220565;30767;20175;10592;1840,710846000;29872;9714
DIJ-045;port_du_canal;853176,1919;6692539,547;2019;PM;early_2019;2019-03-30;2019-05-10;11;11,00000000000000;0;NA;NA;NA;NA;0,30832167879214267;NA;0,2582011576957340;260,990000000000;-0,873000000000000;-0,5629999999999999;5,78057411504425;3,64153668413190;7,0;13,00;38,0;22,00;24,985132090;128,013306500;70,998197620;116,117201300;25;25;59,39223862;11,146228790;6432371,383000;1;1;218471,51800;5,076917222;33112;21603;11509;2231,142400000;30050;7191
DIJ-045;port_du_canal;853176,1919;6692539,547;2021;CC;late_2021;2021-04-09;2021-05-18;11;11,00000000000000;5;7,88600000000000;14,1120000000000;28,3000000000000;NA;NA;NA;NA;233,840000000000;-1,253042000000000;1,6699999999999999;5,78057411504425;3,64153668413190;7,0;13,00;38,0;22,00;24,985132090;128,013306500;70,998197620;116,117201300;25;25;59,39223862;11,146228790;6432371,383000;1;1;218471,51800;5,076917222;33112;21603;11509;2231,142400000;30050;7191
DIJ-045;port_du_canal;853176,1919;6692539,547;2022;PM;early_2022;2022-03-30;2022-05-04;10;10,00000000000000;9;15,52000000000000;19,4400000000000;42,1111111111111;NA;0,63727959520171595;NA;-0,0928210427653287;258,810000000000;-2,600000000000000;-2,1899999999999999;5,78057411504425;3,64153668413190;7,0;13,00;38,0;22,00;24,985132090;128,013306500;70,998197620;116,117201300;25;25;59,39223862;11,146228790;6432371,383000;1;1;218471,51800;5,076917222;33112;21603;11509;2231,142400000;30050;7191
