id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-084;2019;29/04/2019;25/03/2019;01/04/2019;14/04/2019;9;8;0;0;NA;NA;PM;NA;NA;NA
DIJ-084;2021;19/05/2021;05/04/2021;15/04/2021;06/05/2021;12;12;0;0;NA;NA;CC;NA;NA;NA
DIJ-084;2022;13/05/2022;05/04/2022;16/04/2022;30/04/2022;12;12;0;0;NA;NA;CC;NA;NA;NA
DIJ-085;2020;29/04/2020;24/03/2020;NA;NA;11;11;8;0;8791855;NA;PM;13,20500000000000;18,5050000000000;NA
DIJ-085;2021;08/05/2021;03/04/2021;10/04/2021;25/04/2021;9;9;7;0;8876516;8876517;PM;11,73714285714286;17,6942857142857;33,6428571428571
DIJ-085;2022;08/05/2022;03/04/2022;11/04/2022;25/04/2022;10;9;9;0;8877407;8876517;PM;12,50888888888889;18,7288888888889;38,3333333333333
DIJ-086;2022;02/05/2022;28/03/2022;04/04/2022;20/04/2022;9;9;0;0;NA;NA;PM;NA;NA;NA
DIJ-087;2021;30/04/2021;27/03/2021;03/04/2021;17/04/2021;9;9;8;0;NA;8877003;PM;13,03875000000000;18,6675000000000;39,3125000000000
DIJ-088;2019;03/05/2019;31/03/2019;NA;NA;7;6;6;0;NA;NA;PM;15,42500000000000;NA;NA
DIJ-090;2019;02/05/2019;27/03/2019;NA;NA;9;9;7;0;NA;NA;PM;14,24000000000000;NA;NA
DIJ-090;2021;05/05/2021;02/04/2021;08/04/2021;22/04/2021;8;7;6;0;1299BFC;NA;PM;14,38166666666667;19,4600000000000;39,8333333333333
DIJ-090;2022;18/04/2022;10/04/2022;NA;NA;4;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-091;2019;21/05/2019;12/04/2019;NA;NA;14;5;5;0;NA;NA;CC;7,58800000000000;NA;NA
DIJ-092;2019;13/05/2019;04/04/2019;NA;NA;10;9;7;0;8791404;8791396;CC;6,36857142857143;NA;NA
DIJ-092;2020;04/05/2020;29/03/2020;NA;NA;7;7;7;0;NA;NA;CC;10,94000000000000;16,4850000000000;NA
DIJ-093;2020;27/04/2020;25/03/2020;NA;NA;8;8;8;0;8382541;NA;PM;15,35500000000000;18,9200000000000;NA
DIJ-093;2021;23/04/2021;31/03/2021;10/04/2021;NA;12;0;0;0;NA;NA;CC;NA;NA;NA
DIJ-096;2019;13/05/2019;03/04/2019;NA;NA;11;7;7;0;NA;8791413;CC;6,32857142857143;NA;NA
DIJ-096;2020;19/05/2020;16/04/2020;NA;06/05/2020;7;6;0;0;NA;NA;PM;NA;NA;NA
DIJ-096;2021;20/05/2021;19/04/2021;24/04/2021;07/05/2021;7;7;6;0;NA;8877054;PM;14,57500000000000;19,0416666666667;40,7500000000000
DIJ-096;2022;14/05/2022;11/04/2022;15/04/2022;01/05/2022;6;3;1;0;NA;7556111;PM;16,68000000000000;19,2400000000000;48,5000000000000
DIJ-097;2020;15/05/2020;12/04/2020;NA;02/05/2020;9;NA;0;0;NA;NA;CC;NA;NA;NA
DIJ-097;2021;21/05/2021;19/04/2021;24/04/2021;08/05/2021;7;7;6;0;8382544;8877055;PM;14,11000000000000;19,1350000000000;42,9166666666667
DIJ-098;2019;03/05/2019;28/03/2019;NA;NA;9;9;8;0;NA;NA;PM;13,11375000000000;NA;NA
DIJ-098;2021;07/05/2021;05/04/2021;09/04/2021;24/04/2021;6;6;5;0;NA;8382542;PM;14,03400000000000;18,4740000000000;35,2000000000000
DIJ-098;2022;05/05/2022;27/03/2022;06/04/2022;22/04/2022;8;8;6;1;0334BFC;8382542;PM;14,63833333333333;18,8516666666667;41,6666666666667
DIJ-099;2019;09/05/2019;03/04/2019;NA;NA;9;8;2;0;NA;8790934;CC;7,97000000000000;NA;NA
DIJ-099;2020;29/04/2020;27/03/2020;NA;NA;7;7;7;0;NA;8382542;PM;16,44500000000000;19,2700000000000;NA
DIJ-099;2021;21/05/2021;17/04/2021;25/04/2021;08/05/2021;10;10;6;0;NA;NA;CC;5,87333333333333;13,5233333333333;22,3333333333333
DIJ-102;2021;15/05/2021;04/03/2021;12/04/2021;02/05/2021;10;10;8;0;NA;NA;CC;7,34250000000000;15,1512500000000;28,7500000000000
