id_nestbox;site;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_sd;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-028;sq_creux_denfer;2022;late_2022;2022-04-02;2022-05-05;4;3;3;0;"NA";8381527;PM;15,58666666666667;19,0233333333333;44,0000000000000;NA;NA;NA;NA;NA;5;8,00;56;225;22,974751687707300;98,275562908186302;569908099560219;607058216965518;9;5,976722122548880;550781288146973;894791793823242;414924658634296;2;2;194363210571289;629076983734742;34717;22696;12021;3,67815334334209e+02;23483;12153
DIJ-030;sq_creux_denfer;2019;late_2019;2019-04-08;2019-05-13;9;8;4;0;"NA";"NA";PM;12,30000000000000;NA;NA;NA;NA;NA;NA;NA;5;7,00;53;27;50,614082785869101;131,672722116723008;68424649800954;685589550420702;8;6,426496065438160;556199913024902;982065200805664;533012545967251;2;2;19626558505249;624618109142161;33932;22754;11178;0,00000000000000e+00;23759;12662
DIJ-030;sq_creux_denfer;2022;late_2022;2022-04-06;2022-05-11;7;7;5;0;"NA";"NA";CC;10,19200000000000;16,3120000000000;32,0000000000000;NA;NA;NA;NA;NA;5;7,00;53;27;50,614082785869101;131,672722116723008;68424649800954;685589550420702;8;6,426496065438160;556199913024902;982065200805664;533012545967251;2;2;19626558505249;624618109142161;33932;22754;11178;0,00000000000000e+00;23759;12662
DIJ-031;sq_jean_bouin;2019;early_2019;2019-03-27;2019-04-30;9;9;7;0;"NA";"NA";PM;17,57714285714286;18,6000000000000;47,0000000000000;NA;NA;NA;NA;NA;3;4,00;39;265;20,358335845618800;90,963294406274400;527942469083392;66806747874816;6;5,743413829600690;521290550231934;10046028137207;363266339472597;2;2;153238731491089;507137107159345;28644;20230;8414;0,00000000000000e+00;23888;17821
DIJ-032;sq_jean_bouin;2020;early_2020;2020-03-29;2020-05-03;9;9;9;0;"NA";"NA";CC;11,51500000000000;16,8700000000000;NA;NA;NA;NA;NA;NA;3;6,00;44;285;43,457356151976299;121,199622963861998;649668545171527;715834230574081;6;5,888631436133510;54550651550293;109077110290527;527354258769538;2;2;169340837921143;567173200661473;28647;20396;8251;0,00000000000000e+00;25624;16082
DIJ-032;sq_jean_bouin;2021;early_2021;2021-03-31;2021-05-06;10;8;8;0;"NA";"NA";CC;10,26625000000000;17,7237500000000;36,7500000000000;NA;NA;NA;NA;NA;3;6,00;44;285;43,457356151976299;121,199622963861998;649668545171527;715834230574081;6;5,888631436133510;54550651550293;109077110290527;527354258769538;2;2;169340837921143;567173200661473;28647;20396;8251;0,00000000000000e+00;25624;16082
DIJ-033;sq_jean_bouin;2019;late_2019;2019-04-13;2019-05-15;9;8;5;0;"NA";"NA";PM;13,50400000000000;NA;NA;NA;NA;NA;NA;NA;3;5,00;42;28;25,493845487460501;105,688655750226999;649668545171527;655974483310189;6;5,769307335852980;532319602966309;105721168518066;474746728248809;1;2;1433104896698;507856171874574;27772;19173;8599;0,00000000000000e+00;25721;16860
DIJ-036;sq_ph_dard;2020;late_2020;2020-04-08;2020-05-10;9;9;7;0;"NA";7636298;PM;12,12500000000000;19,6750000000000;NA;NA;NA;NA;NA;NA;4;10,00;122;395;51,304000519219798;118,531818931079002;102309198381036;609406774367578;11;10,524888915479201;533175354003906;101456832885742;157255538219531;1;2;716243204193115;344380978834558;22324;13610;8714;0,00000000000000e+00;29103;18926
DIJ-036;sq_ph_dard;2021;late_2021;2021-04-05;2021-04-23;7;0;0;0;"NA";"NA";PM;NA;NA;NA;NA;NA;NA;NA;NA;4;10,00;122;395;51,304000519219798;118,531818931079002;102309198381036;609406774367578;11;10,524888915479201;533175354003906;101456832885742;157255538219531;1;2;716243204193115;344380978834558;22324;13610;8714;0,00000000000000e+00;29103;18926
DIJ-037;sq_ph_dard;2021;early_2021;2021-04-03;2021-05-06;6;5;5;0;8876509;"NA";PM;13,08800000000000;19,2300000000000;40,1000000000000;NA;NA;NA;NA;NA;4;10,00;124;37;49,035143863585098;114,639534471860998;101005600491523;516671825153228;11;10,345743389135000;529784278869629;999446105957031;1469390988049;1;2;72514591583252;361338476136467;22307;13422;8885;0,00000000000000e+00;28904;19142
